Store Type,Metric,Includes Online Sales,Period,Percentage Change,Term,Period Type
Directly-Run Stores,Average Purchase per Customer,0,Oct '17,2.799999999999997,September 2017 to August 2018,Monthly
Directly-Run Stores,Net Sales,1,Oct '17,8.900000000000006,September 2017 to August 2018,Monthly
Directly-Run Stores,Customer Numbers,1,Oct '17,5.099999999999994,September 2017 to August 2018,Monthly
Directly-Run Stores,Average Purchase per Customer,1,Oct '17,3.700000000000003,September 2017 to August 2018,Monthly
Same Stores,Net Sales,1,Nov '17,8.900000000000006,September 2017 to August 2018,Monthly
Same Stores,Customer Numbers,1,Nov '17,4.599999999999994,September 2017 to August 2018,Monthly
Same Stores,Average Purchase per Customer,1,Nov '17,4.200000000000003,September 2017 to August 2018,Monthly
Directly-Run Stores,Net Sales,0,Nov '17,8.099999999999994,September 2017 to August 2018,Monthly
Directly-Run Stores,Customer Numbers,0,Nov '17,4.0,September 2017 to August 2018,Monthly
Directly-Run Stores,Average Purchase per Customer,0,Nov '17,4.0,September 2017 to August 2018,Monthly
Directly-Run Stores,Net Sales,1,Nov '17,8.799999999999997,September 2017 to August 2018,Monthly
Directly-Run Stores,Customer Numbers,1,Nov '17,4.400000000000006,September 2017 to August 2018,Monthly
Directly-Run Stores,Average Purchase per Customer,1,Nov '17,4.200000000000003,September 2017 to August 2018,Monthly
Same Stores,Net Sales,1,Dec '17,18.099999999999994,September 2017 to August 2018,Monthly
Same Stores,Customer Numbers,1,Dec '17,13.5,September 2017 to August 2018,Monthly
Same Stores,Average Purchase per Customer,1,Dec '17,4.0,September 2017 to August 2018,Monthly
Directly-Run Stores,Net Sales,0,Dec '17,15.599999999999994,September 2017 to August 2018,Monthly
Directly-Run Stores,Customer Numbers,0,Dec '17,12.200000000000003,September 2017 to August 2018,Monthly
Directly-Run Stores,Average Purchase per Customer,0,Dec '17,3.0,September 2017 to August 2018,Monthly
Directly-Run Stores,Net Sales,1,Dec '17,18.099999999999994,September 2017 to August 2018,Monthly
Directly-Run Stores,Customer Numbers,1,Dec '17,13.599999999999994,September 2017 to August 2018,Monthly
Directly-Run Stores,Average Purchase per Customer,1,Dec '17,4.0,September 2017 to August 2018,Monthly
Same Stores,Net Sales,1,Jan '18,-2.4000000000000057,September 2017 to August 2018,Monthly
Same Stores,Customer Numbers,1,Jan '18,-5.0,September 2017 to August 2018,Monthly
Same Stores,Average Purchase per Customer,1,Jan '18,2.5999999999999943,September 2017 to August 2018,Monthly
Directly-Run Stores,Net Sales,0,Jan '18,-4.200000000000003,September 2017 to August 2018,Monthly
Directly-Run Stores,Customer Numbers,0,Jan '18,-6.299999999999997,September 2017 to August 2018,Monthly
Directly-Run Stores,Average Purchase per Customer,0,Jan '18,2.200000000000003,September 2017 to August 2018,Monthly
Directly-Run Stores,Net Sales,1,Jan '18,-2.299999999999997,September 2017 to August 2018,Monthly
Directly-Run Stores,Customer Numbers,1,Jan '18,-4.799999999999997,September 2017 to August 2018,Monthly
Directly-Run Stores,Average Purchase per Customer,1,Jan '18,2.5999999999999943,September 2017 to August 2018,Monthly
Same Stores,Net Sales,1,Feb '18,5.099999999999994,September 2017 to August 2018,Monthly
Same Stores,Customer Numbers,1,Feb '18,0.20000000000000284,September 2017 to August 2018,Monthly
Same Stores,Average Purchase per Customer,1,Feb '18,4.799999999999997,September 2017 to August 2018,Monthly
Directly-Run Stores,Net Sales,0,Feb '18,4.599999999999994,September 2017 to August 2018,Monthly
Directly-Run Stores,Customer Numbers,0,Feb '18,0.29999999999999716,September 2017 to August 2018,Monthly
Directly-Run Stores,Average Purchase per Customer,0,Feb '18,4.299999999999997,September 2017 to August 2018,Monthly
Directly-Run Stores,Net Sales,1,Feb '18,5.900000000000006,September 2017 to August 2018,Monthly
Directly-Run Stores,Customer Numbers,1,Feb '18,1.0999999999999943,September 2017 to August 2018,Monthly
Directly-Run Stores,Average Purchase per Customer,1,Feb '18,4.799999999999997,September 2017 to August 2018,Monthly
Same Stores,Net Sales,1,Six months to Feb '18,8.400000000000006,September 2017 to August 2018,Biannual
Same Stores,Customer Numbers,1,Six months to Feb '18,4.200000000000003,September 2017 to August 2018,Biannual
Same Stores,Average Purchase per Customer,1,Six months to Feb '18,4.0,September 2017 to August 2018,Biannual
Directly-Run Stores,Net Sales,0,Six months to Feb '18,6.799999999999997,September 2017 to August 2018,Biannual
Directly-Run Stores,Customer Numbers,0,Six months to Feb '18,3.299999999999997,September 2017 to August 2018,Biannual
Directly-Run Stores,Average Purchase per Customer,0,Six months to Feb '18,3.299999999999997,September 2017 to August 2018,Biannual
Directly-Run Stores,Net Sales,1,Six months to Feb '18,8.5,September 2017 to August 2018,Biannual
Directly-Run Stores,Customer Numbers,1,Six months to Feb '18,4.400000000000006,September 2017 to August 2018,Biannual
Directly-Run Stores,Average Purchase per Customer,1,Six months to Feb '18,4.0,September 2017 to August 2018,Biannual
Same Stores,Net Sales,1,Mar '18,13.0,September 2017 to August 2018,Monthly
Same Stores,Customer Numbers,1,Mar '18,7.700000000000003,September 2017 to August 2018,Monthly
Same Stores,Average Purchase per Customer,1,Mar '18,4.900000000000006,September 2017 to August 2018,Monthly
Directly-Run Stores,Net Sales,0,Mar '18,12.599999999999994,September 2017 to August 2018,Monthly
Directly-Run Stores,Customer Numbers,0,Mar '18,8.0,September 2017 to August 2018,Monthly
Directly-Run Stores,Average Purchase per Customer,0,Mar '18,4.200000000000003,September 2017 to August 2018,Monthly
Directly-Run Stores,Net Sales,1,Mar '18,14.099999999999994,September 2017 to August 2018,Monthly
Directly-Run Stores,Customer Numbers,1,Mar '18,8.799999999999997,September 2017 to August 2018,Monthly
Directly-Run Stores,Average Purchase per Customer,1,Mar '18,4.799999999999997,September 2017 to August 2018,Monthly
Same Stores,Net Sales,1,Apr '18,10.0,September 2017 to August 2018,Monthly
Same Stores,Customer Numbers,1,Apr '18,4.700000000000003,September 2017 to August 2018,Monthly
